,outer_fold,MSE,RMSE,R2,Adj_R2
0,1.0,0.018491534652480726,0.13598358229021887,0.8149671305322864,0.8086231464362506
1,2.0,0.018266202541141172,0.13515251585205942,0.8094491793088291,0.8027040175144513
2,3.0,0.020368157515937648,0.14271705404729193,0.7877529324970853,0.7802397619660086
3,4.0,0.02353219543693168,0.15340207116245752,0.7827268240860794,0.7750357382130203
4,5.0,0.02359780964015851,0.15361578577788973,0.774577263604126,0.7665976977140065
5,6.0,0.02225607479329148,0.14918470026544772,0.7734336110431883,0.7654135618765755
6,7.0,0.015883683394704216,0.12603048597345096,0.8496812819970909,0.8443602654306163
7,8.0,0.022638029849010137,0.15045939601437372,0.807830294422841,0.8010278269687823
8,9.0,0.019690211535794002,0.1403218141836614,0.8047779843165307,0.7978674704870273
9,10.0,0.027050243941155672,0.16446958363525965,0.7360759769812106,0.7267335336885101
mean,5.5,0.021177414330060526,0.14513369892021108,0.7941272478789267,0.7868603020295248
std,2.8722813232690143,0.0030946680101315836,0.010659445004222378,0.0289956975644951,0.03003694884084346
